source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,rv_template_fe_h,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
3313318092042424704,67.70010571239992,16.793113639616575,0.7298409016926184,-1.4958688958077642,0.9027882187933293,1.0428106,19.934286,2.1660976,1.1797981,0.9862995,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318096338337152,67.70427004703981,16.792891735589286,,,,,21.02651,0.62459373,-0.11974716,0.7443409,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318126405283456,67.70566817381223,16.803615048752345,0.2673957329295026,4.164392680902215,-4.580051827587409,0.9910186,19.378216,1.6501045,0.81393814,0.8361664,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318130697619840,67.70721529724139,16.799848818665364,1.780897322662359,3.2771663248125664,0.48104935944265587,0.98185444,20.295683,1.9051113,1.0076962,0.89741516,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318130698104192,67.70719366690207,16.79454261309467,-0.1426356564209458,-0.10729456359886903,-0.9103103103162263,1.2116106,20.68097,1.0134525,0.27290344,0.7405491,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318130699219840,67.71157700520402,16.801719188783906,1.6726793153476063,3.1955686638277445,-16.81195240411968,1.0139349,16.820166,1.9204206,0.95666504,0.9637556,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4470.215,4.6645,0.0479,561.9068,1.3959,1.0119,0.5392
3313318130699220224,67.70452384630136,16.802497741503107,0.24747006591707926,0.36474520887228834,-1.0421642149130457,1.0193714,19.570362,0.9708557,0.42871857,0.54213715,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318160761902848,67.68300790919415,16.803629390932233,2.45435539085195,18.291837505933206,-27.067421976455915,1.0328264,19.196344,2.9676323,1.7185574,1.2490749,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318165058961024,67.68691971403267,16.79996851765377,-0.021358645963108807,1.417151393570475,-1.2501772957531414,0.975961,18.074295,1.1919537,0.51075363,0.6812,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4733.718,4.9203,-2.6319,1158.9017,0.0671,0.0529,0.0289
3313318199415813760,67.70666865106487,16.813225374702025,1.6148871666303635,1.8048065896028778,-2.318680543079328,1.012805,20.012445,1.2973804,0.54971695,0.7476635,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318199417096448,67.69568426730757,16.809294911559498,,,,,,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318199417552640,67.6896670558956,16.812977935037324,,,,,20.882996,0.8158817,0.3180771,0.49780464,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318199417662464,67.69680690161962,16.81725029691451,-2.491009996217264,-0.7088604527987109,0.16352286627249724,0.9566136,20.68438,1.4180737,0.57281303,0.8452606,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318199418695040,67.69820708158072,16.82007526536887,0.20149513617399317,0.78042565190482,-0.6188639917054763,0.9811374,14.748053,1.5879965,0.7426033,0.8453932,8.471886,0.0,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5069.8003,2.6758,-0.3514,4721.4653,1.3825,1.0641,0.572
3313318199418965504,67.69970541660116,16.811703343244535,-0.6659784261041809,0.24944138413849487,-1.7014279867835522,0.97246474,20.548405,1.6929264,0.8187351,0.8741913,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318233775546112,67.71999781773896,16.820044364588473,-0.8498393659193111,0.8234788632035598,0.028518681054241962,1.0730548,19.730259,1.5734844,0.6980686,0.8754158,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318233778431872,67.71669526132685,16.8177645948738,0.7953080275037786,4.072425151899847,1.8357233209585122,1.010157,16.564363,1.3812008,0.62223434,0.75896645,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5167.0513,4.6755,-0.4905,848.3313,0.9632,0.7583,0.4091
3313318263841046912,67.73098692627686,16.822902290070157,0.5698533400224329,0.8258932954240713,-1.1519503853322757,1.0611846,18.03398,1.2526455,0.54421425,0.70843124,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4730.995,4.9279,-2.4114,1064.8026,0.151,0.1182,0.0643
3313318268138166144,67.73977016316991,16.822867102656247,0.3152423907503177,-0.8992922953501363,-2.2734774591285483,1.0353934,16.72659,1.2252483,0.5306034,0.6946449,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5607.2783,4.6447,-1.4667,1063.5349,0.9236,0.7496,0.412
3313318298200924288,67.70656543962143,16.815246007561765,2.6003312928992104,-4.101124291289184,-9.608732805742703,1.1022419,18.938845,2.8383846,1.5369205,1.3014641,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318302497909888,67.70665835922283,16.816198750122062,0.8153070850285391,2.570696384646893,-9.19723016927624,0.9963055,15.9027,1.2807598,0.55887985,0.72187996,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5569.9834,4.587,-0.6407,791.3756,1.0424,0.8386,0.4562
3313318302498944768,67.70826207835574,16.812819726074622,,,,,20.84481,1.538702,0.55822945,0.98047256,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318336857643136,67.72246808093695,16.834537915127175,0.3523024754158855,2.2152856616294847,-4.086840492995223,0.9715052,19.106922,1.8491936,0.9272194,0.9219742,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318336858141184,67.72081476252727,16.825109875728106,,,,,20.964556,2.1775227,0.8720684,1.3054543,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318371217380992,67.75571095099215,16.812201501283386,-0.17147658360462165,2.3462371968230222,-2.70255945792863,1.0321332,18.797356,1.3906631,0.63072014,0.759943,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4231.728,5.1152,-2.2034,688.0905,0.0234,0.0176,0.0095
3313318371217382144,67.76047587471399,16.80480232141778,0.10071012113823169,0.8867955211278207,-0.5939144110235323,0.9373439,19.387589,1.338604,0.58724785,0.7513561,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318435639812864,67.7490942663182,16.826932615272547,1.4286250616418703,-4.789191049300207,-2.239248898623331,1.0366123,19.782381,2.2987041,1.1671257,1.1315784,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318646095287296,67.74304220523685,16.826673296366256,0.5551429354707028,-0.9546287922341012,-0.31463110945088607,1.1033231,19.36753,1.2855072,0.61507607,0.67043114,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318749171609216,67.74808960044874,16.848408091146812,1.6728864634112524,10.259283498824418,-16.950775078472116,1.0817975,19.569096,2.9137878,1.6481781,1.2656097,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318749174498432,67.74622362558121,16.850863773293405,-0.13367209922017478,-0.24828799199504373,-0.8149496300595582,1.0237665,18.31245,1.4681492,0.7007141,0.7674351,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4301.2744,4.8846,-1.4203,966.9526,0.2623,0.1974,0.1063
3313318749174499072,67.73719689329471,16.854750257844508,0.7448681601624969,4.038272377519409,-6.032917597862043,1.0198654,15.866291,1.386775,0.61097145,0.77580357,,,VARIABLE,0,true,false,false,true,false,true,true,5581.3027,4.46,-0.2011,891.4409,1.2659,1.0083,0.5447
3313318783533104384,67.76825412588684,16.853301829599754,-2.094667144929705,2.117897299526314,1.2604591064476158,1.3540822,20.621775,1.5424747,0.5984497,0.94402504,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318783534236288,67.76013617165152,16.851702996346297,0.25179130346074435,2.4240978764251695,-3.3123235940742752,1.0176243,16.936213,1.3478813,0.59391975,0.75396156,,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,
3313318813596869120,67.77370176267664,16.856600496377812,1.084386439543949,1.024876703095722,-0.21594704397081177,1.0334675,19.463034,1.2670994,0.5784855,0.6886139,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318813596939520,67.77229071161524,16.865369616759818,0.22681951273324208,1.3391076459441908,4.300176085058107,1.0945345,19.795458,2.2538738,1.2274742,1.0263996,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318882316347648,67.75849867557908,16.869408778810573,1.066357267630231,1.0999930238676758,-3.7479355923455535,1.0338105,19.452145,1.4928608,0.7386093,0.7542515,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318886610556160,67.76633417886937,16.870450273063966,-0.1532027341901676,1.6287588810205726,-1.1824333469924004,0.96723884,19.7685,1.4559689,0.6985798,0.75738907,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313318886613448448,67.7706072211583,16.869019944953894,0.5928137168432094,7.103820263076088,-5.765374753502184,1.078968,16.253777,1.2527351,0.5451946,0.7075405,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5533.328,4.5907,-0.7163,932.2252,0.9348,0.754,0.4102
3313320295361766016,67.78442615092959,16.877342212703237,,,,,20.77626,1.487711,0.49184036,0.9958706,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313320359788363008,67.77690911238295,16.87594801282945,0.8078657335488384,1.4639375693349452,-2.6066274435986356,1.0753845,19.964901,1.197609,0.43138504,0.7662239,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313320364080609408,67.77364077893886,16.88735635192085,1.1362044843319334,0.6089038297581544,-0.6157512714103273,1.05058,20.455206,1.4173565,0.509531,0.90782547,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313320364081097856,67.77666629614555,16.8752550564928,,,,,20.999853,,,,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313320364082196864,67.77574901910857,16.875526897854982,0.8377463554326134,7.910164141036851,4.680555000166609,1.0047019,17.350288,1.6705437,0.8002262,0.87031746,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4576.2686,4.7371,-0.7745,724.1777,1.153,0.8647,0.4647
3313320501519561088,67.79004285584776,16.895876595406442,2.131782707545053,17.929335444867974,6.175658605237851,1.045928,20.421316,2.2769585,0.9950981,1.2818604,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313344274163104640,67.71097056029761,17.098129934722017,0.337373569681952,-0.16730018153665277,-1.0611954932946976,1.0172493,20.707888,0.65255356,0.074783325,0.57777023,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313329916086602880,67.6748274360689,16.813006746358468,0.3274817443640281,0.9958691804064289,-0.3973470162398759,0.9453423,19.493887,1.2812634,0.5665951,0.7146683,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313329916087927424,67.68039689319767,16.812440853868114,0.9751166746570805,0.9098390802075356,-2.549055500749293,1.0367557,20.2603,1.6418972,0.76854897,0.87334824,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313329950447665408,67.68116119428491,16.81934961643305,1.0932481863997405,2.8662978405882207,1.3276423309221357,0.98086005,20.270008,1.6931381,0.6142864,1.0788517,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313329950448074624,67.68763685136254,16.812740881783945,,,,,20.84609,1.8353901,0.5452404,1.2901497,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313329950449219200,67.67860707546706,16.818966747229453,5.055904857827795,40.82551035795886,-37.59530505904362,5.6752577,13.639447,1.6750326,0.7981701,0.8768625,19.017607,-0.5,NOT_AVAILABLE,1,true,true,false,false,false,false,true,,,,,,,
3313329980511735808,67.66739368960005,16.820632358338692,4.901098220909007,29.366865338661874,-0.01594760854929253,1.1870457,11.938225,1.0773935,0.45201492,0.6253786,17.909765,-0.25,NOT_AVAILABLE,0,true,true,true,false,false,true,true,5215.193,4.3566,-0.9323,202.8335,0.322,0.2613,0.1417
3313329980511832192,67.66567934087948,16.829995805959395,0.6086649408971243,0.6873870116059426,-3.3418907370635806,0.98455864,18.74244,1.9184875,1.029438,0.88904953,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3768.6946,4.8117,-1.9795,441.6866,0.2361,0.1684,0.0906
3313329984808957696,67.67160136432516,16.822925028422656,0.5757195631127423,1.1692412587991772,-6.347137182769131,0.9445002,17.931261,1.5863762,0.74115944,0.84521675,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4238.494,4.8667,-1.2247,781.9053,0.2956,0.2202,0.1183
3313329984808957824,67.66162891129892,16.828140451134836,1.0295615250347652,0.8956114712865606,-6.458975693660979,1.0418935,17.674866,2.1006584,1.0287685,1.0718899,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4230.8223,4.6376,0.0493,707.4227,1.4493,1.032,0.556
3313330049231310976,67.6991994521512,16.836487478550318,0.5333196107708466,1.8899834213252478,-3.384239758256456,0.98378104,18.67564,1.2930775,0.58164597,0.7114315,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4549.1113,4.9825,-2.9189,1178.401,0.0991,0.077,0.042
3313330053526832512,67.70502912336457,16.83077693928151,0.3337812411953755,0.16333076899061377,-4.4918897408094915,1.0229809,20.232246,1.9839153,0.992033,0.9918823,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330053528429696,67.7050687713767,16.82863268404939,0.46859362939094323,-0.49582981236304763,-5.434089421983418,0.9828225,16.811758,1.220129,0.5318966,0.6882324,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5238.9526,4.6934,-1.1947,985.1987,0.6461,0.5187,0.2827
3313330087885278336,67.71794194642882,16.839984502803254,1.9178102404097952,7.223371055569787,-8.47243613724306,1.2046164,20.289366,2.7901516,0.9700699,1.8200817,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330087885278464,67.71822969199413,16.839983934285254,0.05327658220598869,6.129127944355947,-8.253694167294926,2.827497,20.214554,2.5471802,0.7537079,1.7934723,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330087886570624,67.7058640425187,16.837845937255832,0.4937484116847943,0.19241125297341627,-0.20854986283824412,1.0466282,20.30059,1.2758923,0.5541935,0.72169876,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330087887250304,67.70317302817912,16.840394390546372,,,,,20.957878,1.6665859,0.74630547,0.92028046,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330087888164864,67.71153441550972,16.84251198519515,0.6366018901262182,0.008367419891912573,-1.2730639617349404,1.0443747,17.32102,1.3061371,0.5827904,0.7233467,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4882.546,4.8296,-1.8126,884.9019,0.5352,0.4212,0.2298
3313330087888166912,67.70482728328189,16.835226194319517,0.7711095915648504,-4.358173453933289,-3.694418867563258,1.0461146,19.128883,1.7186108,0.8024483,0.9161625,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330087888440576,67.70911202203212,16.84143538449437,1.4603094997663415,9.394740602109614,-3.3975963953042236,1.0557921,20.22491,1.8039093,0.7095413,1.094368,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330122246766720,67.6889250655035,16.834210554401846,-0.3710961310148376,0.8555702752556094,-1.656394326657154,1.083449,20.52819,1.411375,0.6312828,0.78009224,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330122247907840,67.68221979876591,16.835856985014193,0.487124957591859,1.9975113804103248,-7.42493917513729,1.0120287,19.232592,2.083477,1.1489449,0.93453217,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
3313330152310527616,67.69587688249673,16.842861291412294,0.4134183123984861,-0.11888445053160197,-1.0400252627964308,0.9808973,18.111382,1.354929,0.59095,0.76397896,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4468.8286,4.9163,-1.704,940.8818,0.2694,0.2063,0.1113
3313330152310528128,67.70011023280894,16.84505935578146,0.19099245373887713,-1.2910137164792634,1.1368821501566955,0.989804,17.792122,1.1529083,0.48283195,0.6700764,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,5388.563,4.7598,-3.5946,1525.4861,0.6143,0.4984,0.276
